N,delta_mu,delta_s,D_indiv,D_fused,ratio
2,0.35306122448979593,-0.1930612244897958,0.04606892940620955,0.1997803156280269,2.168276083284658
2,0.35306122448979593,-0.1320408163265303,0.039150427850747294,0.1653981338724162,2.1123413325514795
2,0.35306122448979593,-0.07102040816326527,0.03412917756987066,0.13865654564248842,2.031349061351171
2,0.35306122448979593,-0.01,0.03101526651747366,0.11979911189211823,1.9312926397815204
2,0.45408163265306123,-3.0,1.8823906682549199,5.217870864873789,1.3859691701805565
2,0.45408163265306123,-2.9389795918367345,1.8263926299225326,5.096182598936641,1.3951497929426047
2,0.45408163265306123,-2.8779591836734695,1.7706993700411673,4.9745400806681745,1.4046822867939803
2,0.45408163265306123,-2.816938775510204,1.7153286443519746,4.852949244352276,1.4145829314783136
2,0.45408163265306123,-2.755918367346939,1.660299148797242,4.731416793476487,1.4248687644344187
2,0.45408163265306123,-2.6948979591836735,1.6056305572109393,4.609950300268865,1.4355576005842152
2,0.45408163265306123,-2.633877551020408,1.551343558897018,4.488558318065478,1.446668048583892
2,0.45408163265306123,-2.572857142857143,1.4974598958260115,4.367250508147157,1.4582195223793104
2,0.45408163265306123,-2.5118367346938775,1.4440023991410726,4.246037782888643,1.4702322466411026
2,0.45408163265306123,-2.450816326530612,1.390995024621926,4.124932467291466,1.4827272543309877
2,0.45408163265306123,-2.389795918367347,1.3384628867093322,4.00394848122624,1.4957263742553657
2,0.45408163265306123,-2.3287755102040815,1.2864322906437384,3.8831015449926127,1.5092522059787092
2,0.45408163265306123,-2.2677551020408164,1.2349307622200694,3.762409411117894,1.5233280788771129
2,0.45408163265306123,-2.206734693877551,1.1839870746064236,3.641892125660008,1.537977991385857
2,0.45408163265306123,-2.145714285714286,1.133631271618426,3.5215723226581956,1.5532265256014997
2,0.45408163265306123,-2.0846938775510204,1.0838946867837176,3.4014755557856575,1.5690987312978657
2,0.45408163265306123,-2.023673469387755,1.0348099574736036,3.2816306717010404,1.5856199720540232
2,0.45408163265306123,-1.9626530612244897,0.9864110333222667,3.162070230066571,1.602815724504119
2,0.45408163265306123,-1.9016326530612244,0.9387331780996803,3.042830975693067,1.6207113196173628
2,0.45408163265306123,-1.8406122448979592,0.8918129641540682,2.923954368774564,1.639331612289405
2,0.45408163265306123,-1.779591836734694,0.845688258495459,2.8054871796699516,1.6587005622267463
2,0.45408163265306123,-1.7185714285714284,0.8003981995558886,2.687482155148733,1.678840704939065
2,0.45408163265306123,-1.6575510204081632,0.755983163636685,2.5699987634032633,1.6997724863608
2,0.45408163265306123,-1.596530612244898,0.7124847200419007,2.4531040253838943,1.7215134278526205
2,0.45408163265306123,-1.5355102040816326,0.6699455739025472,2.336873440056896,1.7440770796082807
2,0.45408163265306123,-1.4744897959183674,0.6284094957220296,2.2213920109080307,1.7674717091565404
2,0.45408163265306123,-1.413469387755102,0.5879212367226436,2.1067553802682615,1.7916986567897526
2,0.45408163265306123,-1.3524489795918366,0.5485264291494902,1.9930710766231488,1.8167502700949856
2,0.45408163265306123,-1.2914285714285714,0.5102714707950291,1.8804598777228554,1.8426073035133657
2,0.45408163265306123,-1.230408163265306,0.47320339314760673,1.7690572886998865,1.8692356334689924
2,0.45408163265306123,-1.1693877551020406,0.4373697127430807,1.659015129106026,1.89658209149997
2,0.45408163265306123,-1.1083673469387754,0.4028182655116985,1.5505032152878222,1.9245691519452621
2,0.45408163265306123,-1.04734693877551,0.3695970241632784,1.4437111142364025,1.9530881201015953
2,0.45408163265306123,-0.9863265306122448,0.3377538989417258,1.3388499313197963,1.9819903419542673
2,0.45408163265306123,-0.9253061224489794,0.30733652240274656,1.2361540764831556,2.011075785622458
2,0.45408163265306123,-0.8642857142857143,0.27839201922224543,1.1358829310437084,2.040078113979468
2,0.45408163265306123,-0.8032653061224488,0.2509667624213099,1.0383223098602552,2.0686450664673557
2,0.45408163265306123,-0.7422448979591834,0.22510611778886147,0.9437855817209899,2.0963125991231712
2,0.45408163265306123,-0.6812244897959183,0.20085417868492217,0.8526142754793374,2.1224708419355927
2,0.45408163265306123,-0.6202040816326528,0.17825349380399258,0.7651779633395425,2.146319679380118
2,0.45408163265306123,-0.5591836734693878,0.15734479085568776,0.6818731801371805,2.1668120578665215
2,0.45408163265306123,-0.4981632653061223,0.1381666994636468,0.6031211150553555,2.1825849404980664
2,0.45408163265306123,-0.43714285714285683,0.12075547687838362,0.5293638088186124,2.1918832275895457
2,0.45408163265306123,-0.3761224489795918,0.10514474032977916,0.4610586156354757,2.192494908396737
2,0.45408163265306123,-0.3151020408163263,0.09136520999583841,0.398670756007075,2.181742678779122
2,0.45408163265306123,-0.2540816326530613,0.07944446662345861,0.34266390281623726,2.156625359701606
2,0.45408163265306123,-0.1930612244897958,0.06940672779420276,0.2934889119416928,2.114268466969903
2,0.45408163265306123,-0.1320408163265303,0.061272646676992615,0.25157102325147007,2.052881970136382
2,0.45408163265306123,-0.07102040816326527,0.0550591368477753,0.21729609827851104,1.973297355525934
2,0.45408163265306123,-0.01,0.05077922638602228,0.19099669321157897,1.880657768982412
2,0.5551020408163266,-3.0,1.9574309118327256,5.419072296695824,1.3842307955640676
2,0.5551020408163266,-2.9389795918367345,1.9010706317070363,5.297319786898734,1.3932464419120738
2,0.5551020408163266,-2.8779591836734695,1.844994988424298,5.17560471063432,1.402606712513214
2,0.5551020408163266,-2.816938775510204,1.789220788870166,5.053931929846475,1.4123276348241702
2,0.5551020408163266,-2.755918367346939,1.7337657569120966,4.93230693838266,1.4224259876856975
2,0.5551020408163266,-2.6948979591836735,1.6786485734668832,4.810735944231567,1.432919319824053
2,0.5551020408163266,-2.633877551020408,1.6238889169436397,4.689225962490334,1.4438259641909617
2,0.5551020408163266,-2.572857142857143,1.569507503840398,4.5677849204671235,1.455165046771136
2,0.5551020408163266,-2.5118367346938775,1.5155261292341586,4.4464217765101,1.4669564881593338
2,0.5551020408163266,-2.450816326530612,1.461967706861951,4.325146654363449,1.4792209958068037
2,0.5551020408163266,-2.389795918367347,1.4088563084440675,4.203970995088112,1.4919800443421205
2,0.5551020408163266,-2.3287755102040815,1.3562172018501528,4.0829077288529545,1.5052558407617334
2,0.5551020408163266,-2.2677551020408164,1.3040768876542155,3.9619714692046006,1.5190712705335299
2,0.5551020408163266,-2.206734693877551,1.2524631335660386,3.841178732765318,1.5334498197278812
2,0.5551020408163266,-2.145714285714286,1.201405006164234,3.720548187692067,1.5484154671415868
2,0.5551020408163266,-2.0846938775510204,1.1509328992906669,3.6001009346603636,1.5639925389565053
2,0.5551020408163266,-2.023673469387755,1.101078558397914,3.4798608246176883,1.5802055167076083
2,0.5551020408163266,-1.9626530612244897,1.051875100071658,3.3598548180860246,1.597078787137911
2,0.5551020408163266,-1.9016326530612244,1.0033570258796687,3.2401133913835936,1.6146363197800422
2,0.5551020408163266,-1.8406122448979592,0.9555602296297414,3.1206709957815106,1.6329012546863226
2,0.5551020408163266,-1.779591836734694,0.9085219970525554,3.001566576308056,1.6518953784530237
2,0.5551020408163266,-1.7185714285714284,0.8622809968640925,2.88284415765185,1.6716384613229662
2,0.5551020408163266,-1.6575510204081632,0.8168772621086873,2.7645535053776524,1.6921474214138565
2,0.5551020408163266,-1.596530612244898,0.7723521606410232,2.646750871424578,1.713435273637271
2,0.5551020408163266,-1.5355102040816326,0.7287483535770218,2.5294998335586545,1.7355098101716055
2,0.5551020408163266,-1.4744897959183674,0.6861097405333589,2.412872239027318,1.7583719458286886
